Brand,Screen_Size,Ram,Rating,OS_Family_Other,OS_Family_Windows,OS_Family_macOS,Disk_GB,CPU_Vendor,CPU_Family,CPU_Class,CPU_Arch,Price
ASUS,15.6,20,3.9,False,True,False,1024.0,Unknown,i7,Other,x86,899.0
HP,15.6,8,3.9,False,True,False,256.0,Intel,i5,Mobile-U/G,x86,349.99
SAMSUNG,15.6,16,5.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1299.0
Toughbook,12.0,8,3.8,False,True,False,256.0,Intel,i5,Desktop/Unknown,x86,3699.0
MSI,15.6,16,4.5,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1436.23
Alienware,15.6,6,4.2,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1569.81
ASUS,11.6,4,4.3,False,False,False,16.0,Intel,Celeron,Desktop/Unknown,x86,69.99
SAMSUNG,15.6,16,4.3,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1379.99
HP,15.6,8,4.2,False,True,False,512.0,AMD,Ryzen5,Other,x86,399.0
Acer,11.6,8,2.6,False,False,False,512.0,Intel,Celeron,Desktop/Unknown,x86,479.99
ASUS,14.0,4,4.3,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,179.0
Packard Bell,15.6,4,3.8,False,True,False,128.0,Intel,Celeron,Desktop/Unknown,x86,239.99
Acer,11.6,4,4.4,False,False,False,32.0,ARM,MediaTek,Other,ARM,179.0
MSI,14.0,16,4.5,True,False,False,512.0,Intel,i7,Desktop/Unknown,x86,887.05
Alienware,17.3,8,5.0,False,True,False,256.0,Intel,i7,Desktop/Unknown,x86,1499.95
LG,17.0,16,4.9,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,899.99
Dell,15.6,8,4.4,False,True,False,128.0,Intel,Celeron,Desktop/Unknown,x86,375.0
HP,14.0,4,4.3,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,289.0
Alienware,15.6,8,4.0,False,True,False,1000.0,Intel,i5,Desktop/Unknown,x86,1699.0
